pathwayId,systemId,systemName,topicSlug,canonicalTitle,decision,confidence,winningLessonId,winningLessonSlug,recommendedCanonicalSlug,mergeTargetTopicSlug,matchedLessonIds,matchedLessonSlugs,sharedLessonReuseSufficient,overlayNeeded,reuseStatus,reasonCodes,validationIssues,notes
ca-np-cnple,cardiovascular,Cardiovascular,cv-acs,Acute coronary syndrome — recognition and initial management,CREATE_NEW,0.000,,,cv-acs,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-afib,Atrial fibrillation,CREATE_NEW,0.000,,,cv-afib,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-arrhythmias-overview,Other arrhythmias — overview,CREATE_NEW,0.000,,,cv-arrhythmias-overview,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-cad,Coronary artery disease,CREATE_NEW,0.000,,,cv-cad,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-dvt-vte,DVT / VTE,CREATE_NEW,0.000,,,cv-dvt-vte,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-dyslipidemia,Hyperlipidemia / dyslipidemia,CREATE_NEW,0.000,,,cv-dyslipidemia,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-ecg-np,ECG basics for NP practice,CREATE_NEW,0.000,,,cv-ecg-np,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-heart-failure,Heart failure — HFrEF and HFpEF,CREATE_NEW,0.467,,,cv-heart-failure,,ca-np-cnple::fnp-overlay-heart-failure::en|ca-np-cnple::hf-mechanisms-np::en|ca-np-cnple::heart-failure-advanced-np-np::en,fnp-overlay-heart-failure|hf-mechanisms-np|heart-failure-advanced-np-np,true,false,shared_reuse_sufficient,low_confidence_candidates,,Candidate rows exist but none is strong enough to reuse safely.
ca-np-cnple,cardiovascular,Cardiovascular,cv-hypertension,Hypertension — all stages and management,CREATE_NEW,0.294,,,cv-hypertension,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-pad,Peripheral artery disease,CREATE_NEW,0.000,,,cv-pad,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-pe,Pulmonary embolism — recognition and initial management,CREATE_NEW,0.000,,,cv-pe,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-pharm-anticoagulation,Anticoagulation,CREATE_NEW,0.000,,,cv-pharm-anticoagulation,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-pharm-antihypertensives,Antihypertensive pharmacology,CREATE_NEW,0.000,,,cv-pharm-antihypertensives,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-pharm-hf,Heart failure pharmacology,CREATE_NEW,0.304,,,cv-pharm-hf,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-pharm-lipids,Lipid management pharmacology,CREATE_NEW,0.000,,,cv-pharm-lipids,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-risk-stratification,Cardiovascular risk stratification,CREATE_NEW,0.287,,,cv-risk-stratification,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-stable-angina,Stable angina,CREATE_NEW,0.250,,,cv-stable-angina,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,cardiovascular,Cardiovascular,cv-valvular-overview,Valvular heart disease — overview,CREATE_NEW,0.344,,,cv-valvular-overview,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,dermatology,Dermatology,derm-acne,Acne,CREATE_NEW,0.400,,,derm-acne,,ca-np-cnple::acne-np::en,acne-np,true,false,shared_reuse_sufficient,low_confidence_candidates,,Candidate rows exist but none is strong enough to reuse safely.
ca-np-cnple,dermatology,Dermatology,derm-cancer,Skin cancer basics,CREATE_NEW,0.000,,,derm-cancer,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,dermatology,Dermatology,derm-eczema,Eczema / atopic dermatitis,CREATE_NEW,0.000,,,derm-eczema,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,dermatology,Dermatology,derm-infections,Skin infections,CREATE_NEW,0.000,,,derm-infections,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,dermatology,Dermatology,derm-psoriasis,Psoriasis,CREATE_NEW,0.000,,,derm-psoriasis,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,dermatology,Dermatology,derm-rashes,Common rashes — morphologic approach,CREATE_NEW,0.000,,,derm-rashes,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-adrenal,Adrenal disorders — Cushing and Addison,EXISTS_UPGRADE,0.608,ca-np-cnple::endo-adrenal-np::en,endo-adrenal-np,endo-adrenal-np,,ca-np-cnple::endo-adrenal-np::en|ca-np-cnple::adrenal-disorders-cushing-and-addison-np::en,endo-adrenal-np|adrenal-disorders-cushing-and-addison-np,true,false,shared_reuse_sufficient,existing_match_needs_upgrade,,Existing lesson is structurally aligned but should be upgraded before execution.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-calcium,Calcium and parathyroid disorders,CREATE_NEW,0.000,,,endo-calcium,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-dka,Diabetic ketoacidosis,EXISTS_UPGRADE,0.620,ca-np-cnple::endo-dka-np::en,endo-dka-np,endo-dka-np,,ca-np-cnple::endo-dka-np::en|ca-np-cnple::diabetic-ketoacidosis-np::en,endo-dka-np|diabetic-ketoacidosis-np,true,false,shared_reuse_sufficient,existing_match_needs_upgrade,,Existing lesson is structurally aligned but should be upgraded before execution.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-hpa,HPA axis and stress physiology — clinical relevance,CREATE_NEW,0.000,,,endo-hpa,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-hyperaldo,Hyperaldosteronism,CREATE_NEW,0.000,,,endo-hyperaldo,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-hypoglycemia,Hypoglycemia,CREATE_NEW,0.000,,,endo-hypoglycemia,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-insulin,Insulin pharmacology,CREATE_NEW,0.000,,,endo-insulin,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-metabolic-syndrome,Metabolic syndrome,CREATE_NEW,0.420,,,endo-metabolic-syndrome,,ca-np-cnple::metabolic-syndrome-np::en,metabolic-syndrome-np,true,false,shared_reuse_sufficient,low_confidence_candidates,,Candidate rows exist but none is strong enough to reuse safely.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-obesity,Obesity — evaluation and lifestyle,CREATE_NEW,0.000,,,endo-obesity,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-oral-dm,Oral and non-insulin glucose-lowering agents,CREATE_NEW,0.000,,,endo-oral-dm,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-osteoporosis,Osteoporosis — diagnosis and management,CREATE_NEW,0.000,,,endo-osteoporosis,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-t1dm,Type 1 diabetes,CREATE_NEW,0.340,,,endo-t1dm,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-t2dm,Type 2 diabetes,CREATE_NEW,0.340,,,endo-t2dm,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-thyroid,Thyroid disorders — hypo- and hyperthyroidism,CREATE_NEW,0.336,,,endo-thyroid,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,endocrine_metabolic,Endocrine / metabolic,endo-weight-pharm,Weight management pharmacology,CREATE_NEW,0.000,,,endo-weight-pharm,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-biliary,Gallbladder and biliary disease,CREATE_NEW,0.287,,,gi-biliary,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-bleed,GI bleeding — recognition and stabilization,CREATE_NEW,0.240,,,gi-bleed,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-cirrhosis,Cirrhosis and complications,CREATE_NEW,0.000,,,gi-cirrhosis,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-colon-screening,Colon cancer screening,CREATE_NEW,0.430,,,gi-colon-screening,,ca-np-cnple::colon-cancer-screening-np::en,colon-cancer-screening-np,true,false,shared_reuse_sufficient,low_confidence_candidates,,Candidate rows exist but none is strong enough to reuse safely.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-constipation,Constipation,CREATE_NEW,0.000,,,gi-constipation,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-diarrhea,Diarrhea — acute and chronic,CREATE_NEW,0.000,,,gi-diarrhea,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-gerd,GERD,CREATE_NEW,0.380,,,gi-gerd,,ca-np-cnple::gerd-core-np::en,gerd-core-np,true,false,shared_reuse_sufficient,low_confidence_candidates,,Candidate rows exist but none is strong enough to reuse safely.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-hepatitis,"Viral hepatitis A, B, and C",CREATE_NEW,0.000,,,gi-hepatitis,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-ibd,IBD — Crohn disease and ulcerative colitis,CREATE_NEW,0.000,,,gi-ibd,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-ibs,Irritable bowel syndrome,CREATE_NEW,0.000,,,gi-ibs,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-lfts,Liver function tests — interpretation,CREATE_NEW,0.221,,,gi-lfts,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-nafld,NAFLD / MASLD,CREATE_NEW,0.000,,,gi-nafld,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-nausea,Nausea and vomiting,CREATE_NEW,0.000,,,gi-nausea,,,,true,false,shared_reuse_sufficient,no_acceptable_candidate,,No PathwayLesson row reached the minimum reusable-match threshold.
ca-np-cnple,gastrointestinal,Gastrointestinal,gi-pancreatitis,Pancreatitis,CREATE_NEW,0.380,,,gi-pancreatitis,,ca-np-cnple::pancreatitis-management-np::en,pancreatitis-management-np,true,false,shared_reuse_sufficient,low_confidence_candidates,,Candidate rows exist but none is strong enough to reuse safely.
