locale,key,englishValue,overlayValue,overlayStatus,section,priorityRank
tl,pages.pricing.country.ca,Canada,Canada,identical_to_english,pricing,1
tl,pages.pricing.preview.metricAccuracy,72%,72%,identical_to_english,pricing,1
tl,pages.pricing.preview.metricStreak,5,5,identical_to_english,pricing,1
tl,pages.pricing.preview.metricWeak,3,3,identical_to_english,pricing,1
tl,pages.pricing.segment.lvn,LVN/LPN (US),LVN/LPN (US),identical_to_english,pricing,1
tl,pages.pricing.segment.rpn,RPN (Canada),RPN (Canada),identical_to_english,pricing,1
tl,home.competitive.nursenest,NurseNest,NurseNest,identical_to_english,home,3
tl,home.competitive.uworld,UWorld,UWorld,identical_to_english,home,3
tl,home.hero.lvnLpn,LVN / LPN,LVN / LPN,identical_to_english,home,3
tl,home.region.ca,Canada,Canada,identical_to_english,home,3
tl,home.socialProof.passRateValue,100%,100%,identical_to_english,home,3
tl,pages.home.adminLessonCountBreakdown,Admin: Lesson Count Breakdown,Admin: Lesson Count Breakdown,identical_to_english,home,3
tl,pages.home.availableIn20LanguagesStudy,Available in 20 languages — Study nursing in your language,Available in 20 languages — Study nursing in your language,identical_to_english,home,3
tl,pages.home.canadianFlag,Canadian flag,Canadian flag,identical_to_english,home,3
tl,pages.home.metaDescription,"Clinical exam prep with practice questions, lessons, and mock exams for RPN/LPN, RN, NCLEX, REx-PN, NP, and allied health — built for Canada and the US.","Clinical exam prep with practice questions, lessons, and mock exams for RPN/LPN, RN, NCLEX, REx-PN, NP, and allied health — built for Canada and the US.",identical_to_english,home,3
tl,pages.home.metaTitle,"NurseNest — Healthcare Exam Prep | Nursing, NP & Allied Health","NurseNest — Healthcare Exam Prep | Nursing, NP & Allied Health",identical_to_english,home,3
tl,pages.home.rarr,&rarr;,&rarr;,identical_to_english,home,3
tl,pages.home.storeProducts,Store Products,Store Products,identical_to_english,home,3
tl,pages.home.usFlag,US flag,US flag,identical_to_english,home,3
tl,footer.legal,Legal,Legal,identical_to_english,footer,4
tl,nav.examStrip.npCA,NP (CNPLE),NP (CNPLE),identical_to_english,nav,5
tl,nav.examStrip.pnUS,NCLEX-PN,NCLEX-PN,identical_to_english,nav,5
tl,pages.forgotPassword.backToLoginLabel,Back to sign in,,missing_in_overlay,auth,6
tl,pages.forgotPassword.emailPlaceholder,Email address on your account,,missing_in_overlay,auth,6
tl,pages.forgotPassword.errorMessage,Something went wrong. Please try again.,,missing_in_overlay,auth,6
tl,pages.forgotPassword.h1,Reset your password,,missing_in_overlay,auth,6
tl,pages.forgotPassword.intro,"Enter your email address. If an account exists with a password, we will send a reset link.",,missing_in_overlay,auth,6
